Number,Questions,Reasoning,Numerical Answer (If available),Nearest Power of ten
1,How many full size computer keyboards would it take to match every key from every keyboard to a key for every house in the US?,"144 e6 houses * 1 key/house * 1 keyboard/104 keys = 1.384e6
https://www.statista.com/statistics/240267/number-of-housing-units-in-the-united-states/",1.38E+06,6
2,How many hydrogen atoms would be in a sphere of water the size of the moon?,"2.197e10 km^3 Moon volume (you can calculate this from the radius too)
https://nssdc.gsfc.nasa.gov/planetary/factsheet/moonfact.html
18 g/mol is molar mass of water (and 2 g/mol of hydrogen in water)
2.197e10 km^3 * 1e12 L/km^3 * 1e3 mL/L * 1 g/mL water * 1 mol water/18 g * 2 mol hydrogen/1 mol water = 2.44e24",2.44E+24,24
3,How many standard water bottles’ worth of liquid would it take to fill up Lake Mead to full capacity?,"Max capacity: 2.9904e7 acre-ft.
https://snoflo.org/reservoir/nevada/lake-mead
2.99e7 acre-ft * 1.233e6 L/1 acre-ft * 1 water bottle/0.5 L = 7.374e13",7.37E+13,14
4,Solve the Equation: 20 * 69!,https://www.wolframalpha.com/input?i=69%21+*+20,3.42E+99,99
5,"What would be the mass of a planet, in Daltons, the same size as Earth which generates 4g of gravity?","g = G*m/r^2, so solving for mass yields m = g*r^2/G.
Same size ( r ), but 4g means 4m as well.
5.97e24 kg mass of Earth * 4 * 1 Dalton / 1.66e-27 kg = 1.44e52",1.44E+52,52
6,How many M&M’s would it take to recoup the cumulative energy used by all the marathon runners in this year’s Boston marathon?,"Boston is pretty competitive so they are going to be fairly efficient: my guess is around 100 to 120 cal/mi
(average of a bunch of estimates online)
Boston had 25230 runners start the race in 2022.
http://registration.baa.org/2022/cf/Public/iframe_Statistics.htm
There’s 3.44 cal/m&m
https://fdc.nal.usda.gov/fdc-app.html#/food-details/169583/nutrients
2.523e4 runners * 26.2 mi/runner * 100 to 120 cal/mi * 1 M&M/3.44 cal = 1.92 to 2.31e7",2.31E+07,7
7,"How much dissolved oxygen, in nanograms, is present in enough tap water to cover Manhattan 1 meter deep?","Dissolved oxygen in tap water: 6.5 to 8 mg/L
https://atlas-scientific.com/blog/dissolved-oxygen-in-drinking-water/
Manhattan area: 59.13 km^2 = 5.913 m^2
https://en.wikipedia.org/wiki/Manhattan
5.913e7m^2 * 1 m depth * 1e3 L/m^3 * 6.5 to 8 mg/L * 1e6 ng/mg = 3.84 to 4.73e17",4.73E+17,17
8,How many red blood cells would fit inside the Sun?,"1.41e18 km^3 Sun volume = 1.41e27 m^3
https://en.wikipedia.org/wiki/Sun
9e-17 m^3 red blood cell volume
https://en.wikipedia.org/wiki/Orders_of_magnitude_(volume)
1.41e27 m^3 * 74% sphere packing density / (9e-17 m^3) = 1.16e43
The packing density doesn’t actually change the answer anyway",1.16E+43,43
9,Recall that an electron needs energy to move from one energy level to another in an atom. How many leaps from the ground state to the first excited state of an electron in a neutral hydrogen atom could be powered by the energy usage of an average US household?,"10,632 kWh energy for US household in year
https://www.energybot.com/blog/average-energy-consumption.html
10.2 eV for transition 
https://cas.sdss.org/DR5/en/proj/advanced/spectraltypes/energylevels.asp
https://astro.unl.edu/naap/hydrogen/transitions.html
Seems very arbitrary, but this is a useful baseline
1.063e4 kWh * 2.247e25 eV/1 kWh * 1 transition/10.2 eV = 2.34e28",2.34E+28,28
10,"How many centaurs would span the distance from Earth to Proxima Centauri, assuming that centaurs would be the same size as a horse?","4.247 ly distance to Proxima Centauri
https://en.wikipedia.org/wiki/Proxima_Centauri
2.4 m Horse length (https://en.wikipedia.org/wiki/Horse_length)
4.247 ly * 9.461e15m / 1 ly * 1 horse length/2.4 m = 1.67e16",1.67E+16,16
11,How many seconds apart were the completion of the Pyramid of Giza and the Colosseum?,"2570 BC build date of Pyramid
https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza
80 AD build date of Colosseum (https://en.wikipedia.org/wiki/Colosseum)
80 - (-2570) = 2650 yr * 3.154e7 sec/yr = 8.36e10",8.36E+10,11
12,"How long, in decades, would it take for light to complete the famous Cannonball Run challenge (Red Ball Garage in NY to Portofino Hotel in LA)?","Cannonball run (NY to LA) is ~2900 mi (distances vary based on route taken)
https://en.wikipedia.org/wiki/Cannonball_Run_challenge
Speed of light is 3e8 m/s
2.9e3 mi * 1.6e3 m/mi * 1 sec/3e8 m * 1 decade/3.154e8 sec = 4.9e-11.
Seems close to the next exponent, but keep in mind that 2900 mi is an indirect route. Light would move in a straight line, so it would be less distance, so smaller than 4.9 (less chance of my calculation resulting in a different answer).",4.90E-11,-11
13,What is the major axis diameter of Neptune’s orbit in picas?,"https://en.wikipedia.org/wiki/Semi-major_and_semi-minor_axes#/media/File:Solar_system_orbital_period_vs_semimajor_axis.svg
This details the semi-major axes lengths. Double to get the major axis length
328 ly * 9.461e15 m/ly * 236.22 pica/m = 7.33e20",7.33E+20,20
14,How many Interstate highway dashed lines would it take to connect K2 to Mauna Kea?,"11750 km, distance from K2 to Mauna Kea (connected 2 points in Google Maps)
3 m length of a line marker
https://mutcd.fhwa.dot.gov/htm/2003r1/part3/part3a.htm
1.175e7m / 3m = 3.92e6",3.92E+06,6
15,How many individual doses of the COVID-19 booster vaccine would be needed to create a column of liquid that is 5 m in diameter to the ISS?,"0.25 mL for booster dose of vaccine
https://www.fda.gov/media/144637/download
400 km distance of ISS to Earth
https://www.jpl.nasa.gov/edu/teach/activity/how-far-away-is-space/
pi * 2.5^2 * 400e3 * 1e3 L/m^3 * 1e3 mL/L * 1 dose/0.25mL = pi*e13",3.14159E+13,13
16,How long is the longest aircraft carrier in buckyballs (buckminsterfullerene)?,"333 m carrier length (https://en.wikipedia.org/wiki/Nimitz-class_aircraft_carrier)
0.71 nm Buckyball diameter nucleus to nucleus
https://en.wikipedia.org/wiki/Buckminsterfullerene
333 m / 0.71e-9 m = 4.7e11",4.70E+11,11
17,"How many wavelengths of violet visible light exist between the Sun and Neptune, at their average distance apart?","~400 nm violet wavelength, technically 380 to 450 nm
https://www.britannica.com/science/violet
4.5e9 km distance on avg (https://science.nasa.gov/neptune/facts/)
4.5e9 km * 1e12 nm / 1 km * 400 nm = 1.8e24",1.80E+24,24
18,"If all corn produced yearly worldwide were distributed equally to all the blue whales on Earth, how much would each blue whale weigh, in lb, carrying their assigned amount of corn?","1.2e9 metric tons corn worldwide yearly
https://ipad.fas.usda.gov/cropexplorer/cropview/commodityView.aspx?cropid=0440000
10-25,000 population (https://www.worldwildlife.org/species/blue-whale)
2-300,000 lbs
https://www.marinemammalcenter.org/animal-care/learn-about-marine-mammals/cetaceans/blue-whale
[ (1.2e9 metric tons * 2.2e3 lb/1 MT) corn weight + (10 to 25,000 population * 2 to 300,000 lbs each) blue whale weight ] / [10 to 25,000 population]
Answer: 1.06e8 lowest possible estimate to 2.65e8 highest possible estimate",2.65E+08,8
